@relation basket1

@attribute BoughtI1 numeric
@attribute BoughtI2 numeric
@attribute BoughtI3 numeric
@attribute BoughtI4 numeric
@attribute BoughtI5 numeric
@data
5,1,1,3,9
8,10,4,3,6
6,6,0,0,1
2,2,1,4,7
9,9,9,2,7
1,3,2,1,0
3,4,9,2,5
10,4,2,2,7
9,2,0,4,5
3,1,5,8,7
6,6,2,8,3
8,0,7,1,10
3,4,9,2,5
3,4,1,4,1
8,2,6,10,5
0,5,1,10,6
3,4,9,2,5
10,4,10,5,7
6,2,3,4,8
8,4,9,3,2
1,0,3,5,5
0,10,4,1,7
5,4,7,3,9
4,3,6,4,2
2,0,10,7,2
9,0,1,9,3
3,4,9,2,5
8,1,1,8,10
10,3,7,5,7
9,9,3,2,4
3,1,7,8,8
8,0,7,5,3
10,7,9,10,3
10,10,1,1,10
2,6,2,8,7
3,1,9,6,1
10,4,3,5,4
5,9,0,5,10
3,4,9,2,5
10,7,7,1,4
7,5,4,5,5
7,6,9,6,8
8,6,1,8,0
4,6,9,2,7
9,0,2,10,9
10,6,4,7,5
9,1,8,5,10
8,7,10,6,1
4,3,2,9,8
2,7,10,7,7
7,10,7,7,4
3,4,9,2,5
5,7,6,1,9
8,5,6,0,10
2,5,7,8,3
9,1,3,6,8
5,1,5,5,9
7,7,1,9,7
10,8,7,8,3
9,1,2,4,7
8,2,2,7,8
5,9,4,7,0
1,5,6,10,5
3,1,10,8,3
6,5,8,3,8
3,5,10,0,7
9,3,7,3,10
9,4,6,7,7
3,9,1,9,10
1,3,1,5,4
1,0,8,0,4
5,6,9,9,1
6,7,10,5,4
1,10,7,6,3
8,9,9,2,0
3,4,9,2,5
9,2,4,4,0
2,7,3,1,9
3,10,9,5,1
1,3,5,4,10
3,0,6,4,0
0,2,10,10,2
5,4,9,3,8
8,2,0,1,8
1,2,8,10,4
3,1,3,6,4
6,1,6,1,1
9,9,4,9,5
6,5,3,1,10
3,4,9,2,5
8,3,4,5,0
6,6,10,2,9
8,9,5,0,9
0,10,6,10,10
10,8,0,5,2
0,6,1,2,10
7,10,5,3,2
10,2,2,0,4
6,10,6,8,8
7,8,6,7,4
3,4,9,2,5
4,3,8,10,2
7,10,9,7,5
5,10,1,2,0
2,0,7,5,4
7,8,9,2,5
3,4,9,2,5
10,0,4,10,0
6,4,10,6,2
